trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate
20231221,17.63,17.82,17.25,17.75,17.68,0.07,0.3959,10589.0,18562.532,15.71,49.63,17.31,17.63,18.91,23.07,32.67,20.75,16.57
20231220,17.87,17.96,17.68,17.68,17.69,-0.01,-0.0565,7510.28,13381.078,15.71,49.63,17.31,17.63,18.91,23.07,32.67,20.77,15.37
20231219,17.57,17.77,17.47,17.69,17.54,0.15,0.8552,10517.4,18515.106,15.71,49.63,17.31,17.95,18.91,23.07,32.67,20.8,14.94
20231218,17.73,17.97,17.45,17.54,17.78,-0.24,-1.3498,13807.8,24490.94,15.71,49.63,17.31,17.95,19.23,23.07,32.67,20.84,6.8
20231215,17.92,18.02,17.64,17.78,17.9,-0.12,-0.6704,9580.5,17039.809,15.71,49.63,16.99,17.95,19.23,23.39,32.67,20.89,11.63
20231214,17.97,18.3,17.86,17.9,17.87,0.03,0.1679,15985.28,28905.294,15.71,49.63,16.99,17.95,19.23,23.39,32.67,20.91,11.21
20231213,17.86,18.14,17.71,17.87,17.87,0.0,0.0,12065.1,21719.52,15.71,49.63,16.99,17.95,19.23,23.39,32.67,20.93,11.25
20231212,18.22,18.22,17.73,17.87,18.23,-0.36,-1.9748,17319.3,30956.941,15.71,49.63,16.99,17.95,19.23,23.39,32.67,20.94,11.24
20231211,18.47,18.5,18.01,18.23,18.55,-0.32,-1.7251,20873.0,38064.596,15.71,49.63,16.99,17.95,19.23,23.39,32.67,20.96,16.05
20231208,18.53,18.74,18.34,18.55,18.53,0.02,0.1079,14917.0,27664.133,15.71,49.63,16.99,17.95,19.23,23.39,32.67,20.98,21.93
20231207,18.58,18.93,18.4,18.53,18.67,-0.14,-0.7499,12910.7,24079.933,15.71,49.63,16.99,17.95,19.23,23.39,32.67,20.99,21.72
20231206,18.58,18.87,18.42,18.67,18.61,0.06,0.3224,10086.5,18797.541,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.0,32.24
20231205,18.85,18.97,18.61,18.61,18.83,-0.22,-1.1683,11909.8,22330.258,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.01,31.87
20231204,18.99,19.04,18.75,18.83,19.02,-0.19,-0.9989,12050.78,22760.25,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.01,31.8
20231201,18.89,19.13,18.87,19.02,18.92,0.1,0.5285,14327.4,27206.787,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.02,42.88
20231130,18.88,19.05,18.71,18.92,18.89,0.03,0.1588,12177.9,22973.952,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.03,42.47
20231129,18.99,19.22,18.86,18.89,19.12,-0.23,-1.2029,13584.5,25859.208,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.03,31.9
20231128,18.67,19.24,18.57,19.12,18.68,0.44,2.3555,19824.8,37599.78,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.05,41.68
20231127,19.17,19.17,18.47,18.68,19.03,-0.35,-1.8392,23604.9,44322.695,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.06,32.25
20231124,19.01,19.28,18.88,19.03,19.01,0.02,0.1052,21610.0,41185.187,15.71,49.63,16.99,17.95,19.23,23.39,32.67,21.07,40.43
20231123,18.88,19.18,18.85,19.01,18.89,0.12,0.6353,12407.0,23547.368,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.08,40.13
20231122,19.09,19.2,18.8,18.89,19.12,-0.23,-1.2029,12717.8,24157.916,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.09,32.4
20231121,19.2,19.53,19.03,19.12,19.2,-0.08,-0.4167,18457.2,35631.408,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.1,39.35
20231120,18.7,19.45,18.7,19.2,18.88,0.32,1.6949,26003.3,49799.88,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.1,39.77
20231117,18.29,18.92,18.07,18.88,18.26,0.62,3.3954,17910.58,33393.555,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.12,33.65
20231116,18.48,18.54,18.22,18.26,18.46,-0.2,-1.0834,9031.0,16542.048,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.12,19.13
20231115,18.79,18.85,18.38,18.46,18.68,-0.22,-1.1777,13330.6,24682.385,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.14,25.18
20231114,18.88,18.88,18.64,18.68,18.61,0.07,0.3761,12464.6,23336.015,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.15,32.24
20231113,18.6,18.78,18.44,18.61,18.45,0.16,0.8672,14104.5,26186.702,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.15,31.89
20231110,18.55,18.7,18.18,18.45,18.53,-0.08,-0.4317,11036.0,20390.384,15.71,49.63,16.99,17.95,19.55,23.39,32.67,21.16,25.12
20231109,18.76,18.94,18.33,18.53,18.74,-0.21,-1.1206,12746.4,23709.488,15.71,49.63,16.67,17.95,19.55,23.39,32.67,21.18,24.85
20231108,18.38,18.88,18.27,18.74,18.38,0.36,1.9587,16749.58,31294.846,15.71,49.63,16.67,17.95,19.55,23.39,32.67,21.19,30.54
20231107,18.48,18.49,18.26,18.38,18.5,-0.12,-0.6486,9327.8,17163.434,15.71,49.63,16.67,17.95,19.55,23.39,32.67,21.2,25.22
20231106,18.01,18.55,18.01,18.5,17.98,0.52,2.8921,11843.9,21761.652,15.71,49.63,16.67,17.95,19.55,23.39,32.67,21.21,24.82
20231103,17.95,18.14,17.88,17.98,17.9,0.08,0.4469,9794.56,17636.164,15.71,49.63,16.67,17.95,19.87,23.39,32.67,21.22,20.56
20231102,18.01,18.32,17.89,17.9,18.07,-0.17,-0.9408,12776.96,23029.093,15.71,49.63,16.67,17.95,19.87,23.39,32.67,21.24,14.67
