trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate
20231221,16.31,16.85,16.22,16.59,16.38,0.21,1.2821,61829.7,102426.065,0.52,39.52,14.95,16.51,17.29,18.85,21.58,17.65,22.38
20231220,16.88,16.98,16.38,16.38,16.85,-0.47,-2.7893,66075.06,109815.166,0.52,39.52,14.95,16.51,17.29,18.85,21.58,17.66,14.41
20231219,16.71,17.29,16.66,16.85,16.77,0.08,0.477,102483.81,174368.17,0.52,39.52,14.95,16.51,17.29,18.85,21.58,17.67,20.57
20231218,16.9,17.07,16.75,16.77,16.95,-0.18,-1.0619,70811.54,119455.312,0.52,39.52,14.95,16.51,17.29,18.85,21.58,17.69,20.75
20231215,17.31,17.44,16.88,16.95,17.31,-0.36,-2.0797,82085.51,140001.549,0.52,39.52,14.95,16.12,17.29,18.85,21.58,17.7,39.68
20231214,17.24,17.62,17.14,17.31,17.23,0.08,0.4643,114965.34,199501.962,0.52,39.52,14.95,16.12,17.29,18.85,21.58,17.73,58.31
20231213,17.26,17.48,17.01,17.23,17.27,-0.04,-0.2316,72153.39,124707.236,0.52,39.52,14.95,16.12,17.29,18.85,21.58,17.74,39.16
20231212,17.53,17.57,17.2,17.27,17.5,-0.23,-1.3143,83133.68,144372.861,0.52,39.52,14.95,16.12,17.29,18.85,21.58,17.74,39.05
20231211,16.7,17.57,16.57,17.5,16.83,0.67,3.981,149305.49,256039.894,0.52,39.52,14.95,16.12,17.29,18.85,21.58,17.75,55.53
20231208,17.07,17.29,16.82,16.83,16.98,-0.15,-0.8834,85979.3,146247.46,0.52,39.52,14.95,16.12,17.29,18.85,21.97,17.77,23.17
20231207,17.15,17.41,16.93,16.98,17.15,-0.17,-0.9913,92301.0,157859.677,0.52,39.52,14.95,16.12,17.29,19.24,21.97,17.82,35.3
20231206,16.91,17.38,16.91,17.15,16.95,0.2,1.1799,118637.22,203288.112,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.83,34.99
20231205,17.77,17.77,16.91,16.95,17.8,-0.85,-4.7753,160532.56,276642.633,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.85,34.61
20231204,17.33,17.98,17.29,17.8,17.27,0.53,3.0689,184577.84,326252.556,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.86,56.51
20231201,17.31,17.67,17.03,17.27,17.27,0.0,0.0,113598.49,196918.949,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.86,35.44
20231130,17.37,17.51,17.0,17.27,17.52,-0.25,-1.4269,148619.77,255808.678,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.86,35.75
20231129,17.13,17.85,17.13,17.52,17.31,0.21,1.2132,209376.21,370032.663,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.87,45.97
20231128,16.92,17.7,16.92,17.31,17.11,0.2,1.1689,183169.72,318213.088,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.87,45.61
20231127,16.72,17.47,16.53,17.11,16.75,0.36,2.1493,226242.88,384952.732,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.88,36.81
20231124,17.18,17.22,16.65,16.75,17.17,-0.42,-2.4461,130292.67,219288.847,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.89,29.17
20231123,17.0,17.3,17.0,17.17,17.16,0.01,0.0583,101396.3,173889.077,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.91,35.37
20231122,17.39,17.56,17.16,17.16,17.58,-0.42,-2.3891,119233.6,206674.035,0.52,39.52,14.95,15.73,17.68,19.24,21.97,17.92,35.26
20231121,17.65,17.88,17.48,17.58,17.73,-0.15,-0.846,135967.68,240039.825,0.52,39.52,14.95,15.73,18.07,19.24,21.97,17.92,42.12
20231120,18.07,18.15,17.69,17.73,18.01,-0.28,-1.5547,145479.83,259302.752,0.52,39.52,14.95,15.73,18.07,19.24,21.97,17.93,49.36
20231117,18.1,18.66,17.9,18.01,17.79,0.22,1.2366,209853.57,382483.901,0.52,39.52,14.95,15.73,18.07,19.24,21.97,17.92,49.44
20231116,18.0,18.1,17.77,17.79,18.08,-0.29,-1.604,143297.71,256561.818,0.52,39.52,14.95,15.73,17.68,19.63,22.36,17.91,50.42
