trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate
20231221,21.93,22.59,17.76,18.17,21.91,-3.74,-17.0698,21747.34,44588.661,9.59,32.31,18.87,19.67,21.27,21.91,22.23,20.89,1.09
20231220,21.08,22.33,21.08,21.91,21.26,0.65,3.0574,14868.09,32271.579,9.59,32.31,19.51,20.15,21.43,21.91,22.23,21.22,78.95
20231219,22.75,22.8,20.79,21.26,22.0,-0.74,-3.3636,18612.72,39920.085,9.59,32.31,19.35,19.99,21.27,21.91,22.23,20.99,48.4
20231218,20.57,22.08,20.21,22.0,20.3,1.7,8.3744,21194.45,45150.934,9.59,32.31,19.19,19.67,20.47,21.43,21.75,20.5,98.19
20231215,19.43,20.78,19.22,20.3,19.82,0.48,2.4218,16502.3,33089.908,9.59,32.31,18.87,19.35,19.99,20.47,20.63,19.89,74.26
20231214,19.2,21.21,19.02,19.82,19.39,0.43,2.2176,28705.1,58679.46,9.59,32.31,18.39,18.87,19.67,20.47,20.79,19.68,52.47
20231213,18.85,19.95,18.35,19.39,18.69,0.7,3.7453,20836.93,40158.034,9.59,32.31,18.23,18.55,19.03,19.51,19.67,19.0,82.01
20231212,18.29,19.36,17.91,18.69,18.82,-0.13,-0.6908,12899.61,24005.257,9.59,32.31,18.07,18.39,18.87,19.35,19.67,18.87,31.6
20231211,19.37,20.0,18.53,18.82,19.52,-0.7,-3.5861,16658.04,32026.892,9.59,32.31,17.91,18.39,19.03,19.51,19.83,18.95,33.46
20231208,18.68,19.86,18.03,19.52,18.65,0.87,4.6649,23772.03,45076.101,9.59,32.31,17.59,18.23,18.87,19.35,19.67,18.77,93.11
20231207,18.18,19.18,17.18,18.65,18.1,0.55,3.0387,22249.43,40992.519,9.59,32.31,15.99,17.11,18.23,18.87,19.51,18.07,75.96
20231206,16.91,20.0,16.21,18.1,16.89,1.21,7.164,33623.97,61342.15,9.59,32.31,15.51,16.31,17.91,19.19,19.99,17.89,56.15
20231205,15.18,17.01,15.11,16.89,15.41,1.48,9.6042,23635.63,38767.924,9.59,32.31,15.03,15.51,16.47,19.83,21.27,17.27,61.15
20231204,15.23,15.78,14.62,15.41,15.2,0.21,1.3816,11226.01,17161.745,9.59,32.31,14.87,15.51,17.43,20.47,21.59,17.92,14.83
20231201,16.69,16.72,15.05,15.2,16.29,-1.09,-6.6912,16409.62,25838.205,9.59,32.31,15.19,15.83,18.07,20.63,21.75,18.22,5.93
