datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio,takeprofitratio,averagecost,ratio90low,raio90high,concentration90,raio70low,raio70high,concentration70
2023-02-15,24.13,23.87,24.33,23.81,137858,331125266.31,2.15,-1.08,-0.26,2.13,0.035911,24.05,23.89,24.24,0.007271971743195543,23.94,24.18,0.004987531172069867
2023-02-16,23.84,23.14,24.1,22.86,204418,481944415.93,5.19,-3.06,-0.73,3.16,0.063406,23.74,23.11,24.19,0.02283298097251582,23.3,24.09,0.016670183583034376
2023-02-17,23.14,22.87,23.25,22.82,126303,290535580.17,1.86,-1.17,-0.27,1.95,0.006593,23.49,22.94,24.17,0.02602962399438117,23.02,24.05,0.021745918808202126
2023-02-20,22.87,23.13,23.15,22.56,104341,238815271.28,2.58,1.14,0.26,1.61,0.407228,23.3,22.8,24.15,0.028844421953667036,22.93,24.02,0.023277954559099704
2023-02-21,23.16,23.37,23.52,23.05,104982,244897348.09,2.03,1.04,0.24,1.62,0.578388,23.28,22.82,24.13,0.027832336972836668,22.95,23.99,0.022018419460971262
2023-02-22,23.22,23.1,23.31,23.05,71308,165165954.93,1.11,-1.16,-0.27,1.1,0.301879,23.24,22.83,24.12,0.027326294482421482,22.96,23.96,0.021264545360930885
2023-02-23,23.12,23.2,23.44,23.03,94693,220029798.28,1.77,0.43,0.1,1.46,0.433302,23.24,22.85,24.1,0.0268202519920063,22.99,23.91,0.019755651524387612
2023-02-24,23.22,23.01,23.34,22.89,69304,159880381.76,1.94,-0.82,-0.19,1.07,0.168123,23.21,22.86,24.09,0.02631420950159096,22.99,23.88,0.019010263394180448
2023-02-27,22.91,22.97,23.2,22.87,84295,194052384.41,1.43,-0.17,-0.04,1.3,0.142165,23.19,22.87,24.09,0.02605459589008788,22.98,23.82,0.0180237936449885
2023-02-28,22.94,23.26,23.26,22.94,73890,170987449.86,1.39,1.26,0.29,1.14,0.631853,23.18,22.88,24.08,0.02554868140678523,22.99,23.75,0.016267447871790405
2023-03-01,23.37,23.25,23.4,23.12,88231,204765005.69,1.2,-0.04,-0.01,1.36,0.612202,23.19,22.89,24.07,0.02504276692348258,22.99,23.68,0.014764892175728926
2023-03-02,23.25,22.86,23.25,22.79,117196,269128538.48,1.98,-1.68,-0.39,1.81,0.040548,23.17,22.88,24.06,0.025055442834898314,22.98,23.59,0.013264503186420787
2023-03-03,22.8,22.67,22.98,22.55,87092,198073790.2,1.88,-0.83,-0.19,1.35,0.017436,23.15,22.77,24.04,0.02730828568315158,22.93,23.54,0.013109782514513463
2023-03-06,22.67,22.8,22.8,22.29,98937,223193692.72,2.25,0.57,0.13,1.53,0.138605,23.13,22.62,24.03,0.030231092618330242,22.82,23.48,0.014192415058569762
2023-03-07,22.79,22.1,22.79,22.1,128185,286538224.31,3.03,-3.07,-0.7,1.98,0.0,23.1,22.43,24.02,0.03415747872202068,22.67,23.43,0.016556971091904082
