datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio
2010-01-04,8.21,8.15,8.27,8.1,66388,54276029.0,2.08,-0.12,-0.01,2.78
2010-01-05,8.22,8.45,8.45,8.15,145485,121376938.0,3.68,3.68,0.3,6.09
2010-01-06,8.5,8.83,9.3,8.4,461369,413061815.0,10.65,4.5,0.38,19.31
2010-01-07,9.0,9.03,9.35,8.68,393191,356881617.0,7.59,2.27,0.2,16.46
2010-01-08,8.87,9.18,9.23,8.71,252742,228531327.0,5.76,1.66,0.15,10.58
2010-01-11,9.22,9.24,9.34,8.97,233927,214174615.0,4.03,0.65,0.06,9.79
2010-01-12,9.25,9.12,9.25,9.02,189877,173203239.0,2.49,-1.3,-0.12,7.95
2010-01-13,8.9,8.5,8.98,8.45,262755,228155180.0,5.81,-6.8,-0.62,11.0
2010-01-14,8.58,8.65,8.73,8.45,155107,133057827.0,3.29,1.76,0.15,6.49
2010-01-15,8.66,8.79,8.85,8.58,121488,106342951.0,3.12,1.62,0.14,5.08
2010-01-18,8.77,9.16,9.2,8.57,200294,178427601.0,7.17,4.21,0.37,8.38
2010-01-19,9.0,9.71,10.08,9.0,584155,570311438.0,11.79,6.0,0.55,24.45
2010-01-20,9.72,9.87,10.11,9.5,524797,516343618.0,6.28,1.65,0.16,21.96
2010-01-21,9.87,9.82,9.95,9.54,193262,188742877.0,4.15,-0.51,-0.05,8.09
2010-01-22,9.59,9.05,9.59,8.84,341748,309537876.0,7.64,-7.84,-0.77,14.3
2010-01-25,8.95,8.77,9.14,8.76,105568,94029401.0,4.2,-3.09,-0.28,4.42
2010-01-26,8.81,8.28,8.88,8.14,114970,97009869.0,8.44,-5.59,-0.49,4.81
2010-01-27,8.16,8.2,8.48,8.04,95214,78798927.0,5.31,-0.97,-0.08,3.98
2010-01-28,8.11,8.38,8.4,8.08,76425,63023072.0,3.9,2.2,0.18,3.2
2010-01-29,8.27,8.49,8.53,8.2,109372,91889898.0,3.94,1.31,0.11,4.58
2010-02-01,8.38,8.11,8.38,8.08,81410,66776328.0,3.53,-4.48,-0.38,3.41
2010-02-02,8.21,8.21,8.5,8.17,105939,88305753.0,4.07,1.23,0.1,4.43
2010-02-03,8.25,8.45,8.55,8.1,131032,109692262.0,5.48,2.92,0.24,5.48
2010-02-04,8.33,8.47,8.63,8.2,116066,97942966.0,5.09,0.24,0.02,4.86
2010-02-05,8.2,8.29,8.49,8.14,81439,67416083.0,4.13,-2.13,-0.18,3.41
2010-02-08,8.26,8.38,8.45,8.24,48476,40552777.0,2.53,1.09,0.09,2.03
2010-02-09,8.38,8.6,8.61,8.31,87721,74525432.0,3.58,2.63,0.22,3.67
2010-02-10,8.71,8.55,8.77,8.45,69600,59622409.0,3.72,-0.58,-0.05,2.91
2010-02-11,8.55,8.35,8.64,8.3,78374,66374533.0,3.98,-2.34,-0.2,3.28
2010-02-12,8.42,8.61,8.63,8.35,78805,67423239.0,3.35,3.11,0.26,3.3
2010-02-22,8.66,8.83,9.07,8.65,137475,122242089.0,4.88,2.56,0.22,5.75
2010-02-23,8.83,9.06,9.08,8.65,134982,120281922.0,4.87,2.6,0.23,5.65
2010-02-24,9.02,9.09,9.1,8.88,98763,88814071.0,2.43,0.33,0.03,4.13
2010-02-25,9.1,9.14,9.16,9.02,110228,100069363.0,1.54,0.55,0.05,4.61
2010-02-26,9.09,8.91,9.09,8.9,92344,82931012.0,2.08,-2.52,-0.23,3.86
2010-03-01,9.02,9.21,9.35,9.0,153304,140173716.0,3.93,3.37,0.3,6.42
2010-03-02,9.14,9.04,9.16,8.91,94134,84888766.0,2.71,-1.85,-0.17,3.94
2010-03-03,9.01,9.13,9.14,8.94,87347,79210037.0,2.21,1.0,0.09,3.66
2010-03-04,9.15,8.81,9.28,8.75,102366,92529713.0,5.81,-3.5,-0.32,4.28
2010-03-05,8.79,8.8,8.9,8.66,59167,52051134.0,2.72,-0.11,-0.01,2.48
2010-03-08,8.81,8.96,8.98,8.76,44774,39812247.0,2.5,1.82,0.16,1.87
2010-03-09,8.98,8.99,9.09,8.77,70833,63326713.0,3.57,0.33,0.03,2.96
2010-03-10,8.97,9.15,9.18,8.89,115006,104276383.0,3.23,1.78,0.16,4.81
2010-03-11,9.12,9.03,9.18,8.9,76748,69343185.0,3.06,-1.31,-0.12,3.21
2010-03-12,8.99,8.67,9.03,8.65,80580,70874229.0,4.21,-3.99,-0.36,3.37
2010-03-15,8.62,8.43,8.7,8.37,51906,43851293.0,3.81,-2.77,-0.24,2.17
2010-03-16,8.43,8.5,8.57,8.4,41078,34876970.0,2.02,0.83,0.07,1.72
2010-03-17,8.54,8.7,8.75,8.51,45373,39182622.0,2.82,2.35,0.2,1.9
2010-03-18,8.72,8.71,8.78,8.64,48099,41827741.0,1.61,0.11,0.01,2.01
2010-03-19,8.71,9.03,9.25,8.68,162160,146484270.0,6.54,3.67,0.32,6.79
2010-03-22,8.9,8.96,9.02,8.86,73749,65930297.0,1.77,-0.78,-0.07,3.09
2010-03-23,8.91,8.97,9.1,8.9,71011,63917929.0,2.23,0.11,0.01,2.97
2010-03-24,8.98,9.03,9.08,8.97,68946,62320329.0,1.23,0.67,0.06,2.89
2010-03-25,8.97,8.85,8.98,8.75,66498,58925157.0,2.55,-1.99,-0.18,2.78
2010-03-26,8.89,8.98,9.02,8.7,53006,47160122.0,3.62,1.47,0.13,2.22
2010-03-29,9.01,9.19,9.26,9.01,158055,145311499.0,2.78,2.34,0.21,6.61
2010-03-30,9.21,9.18,9.25,9.08,89312,81760790.0,1.85,-0.11,-0.01,3.74
2010-03-31,9.18,9.69,10.06,9.18,408744,394743342.0,9.59,5.56,0.51,17.11
2010-04-01,9.75,9.79,9.89,9.45,257823,248977055.0,4.54,1.03,0.1,10.79
2010-04-02,9.74,9.62,9.81,9.59,135759,131322598.0,2.25,-1.74,-0.17,5.68
2010-04-06,9.6,9.52,9.75,9.5,100474,96535536.0,2.6,-1.04,-0.1,4.2
2010-04-07,9.55,9.67,9.82,9.5,101626,98399661.0,3.36,1.58,0.15,4.25
2010-04-08,9.56,9.66,9.78,9.55,95849,92940773.0,2.38,-0.1,-0.01,4.01
2010-04-09,9.6,9.59,9.67,9.28,184611,174801578.0,4.04,-0.72,-0.07,7.73
2010-04-12,9.55,9.84,9.88,9.52,248787,242074439.0,3.75,2.61,0.25,10.41
2010-04-13,9.8,9.66,9.92,9.3,154568,149500315.0,6.3,-1.83,-0.18,6.47
2010-04-14,9.7,10.05,10.15,9.56,279220,279223007.0,6.11,4.04,0.39,11.69
2010-04-15,10.0,9.99,10.14,9.78,162120,161774161.0,3.58,-0.6,-0.06,6.78
2010-04-16,9.94,9.76,9.99,9.69,89206,87594586.0,3.0,-2.3,-0.23,3.73
2010-04-19,9.65,9.16,9.8,9.1,139412,132194075.0,7.17,-6.15,-0.6,5.83
2010-04-20,9.15,9.27,9.35,8.98,81208,74415316.0,4.04,1.2,0.11,3.4
2010-04-21,9.22,9.38,9.42,9.07,115017,106830311.0,3.78,1.19,0.11,4.81
2010-04-22,9.35,9.6,9.65,9.09,134935,127189816.0,5.97,2.35,0.22,5.65
2010-04-23,9.5,9.52,9.76,9.41,105736,101025288.0,3.65,-0.83,-0.08,4.43
2010-04-26,9.55,9.63,9.78,9.46,90206,87202099.0,3.36,1.16,0.11,3.78
2010-04-27,9.63,9.38,9.66,9.12,86774,81135864.0,5.61,-2.6,-0.25,3.63
2010-04-28,9.27,9.4,9.52,9.2,60062,56281140.0,3.41,0.21,0.02,2.51
2010-04-29,9.42,8.97,9.56,8.88,67837,63041661.0,7.23,-4.57,-0.43,2.84
2010-04-30,8.93,8.54,8.99,8.31,88266,76196289.0,7.58,-4.79,-0.43,3.69
2010-05-05,8.43,8.68,8.71,8.3,93127,79568050.0,4.8,1.64,0.14,3.9
2010-05-06,8.61,8.39,8.8,8.37,71284,61279002.0,4.95,-3.34,-0.29,2.98
2010-05-07,8.17,8.19,8.51,8.01,55371,45634430.0,5.96,-2.38,-0.2,2.32
2010-05-10,8.23,8.36,8.39,8.02,60003,49462413.0,4.52,2.08,0.17,2.51
2010-05-11,8.54,8.3,8.6,8.2,75493,63683826.0,4.78,-0.72,-0.06,3.16
2010-05-12,8.15,8.18,8.34,7.98,43511,35494331.0,4.34,-1.45,-0.12,1.82
2010-05-13,8.18,8.25,8.35,7.88,73141,59388542.0,5.75,0.86,0.07,3.06
2010-05-14,8.19,8.34,8.5,8.11,92722,77328563.0,4.73,1.09,0.09,3.88
2010-05-17,8.28,8.2,8.58,8.14,118287,98653113.0,5.28,-1.68,-0.14,4.95
2010-05-18,8.15,8.56,8.74,8.15,191503,163556703.0,7.2,4.39,0.36,8.01
2010-05-19,8.49,8.63,8.9,8.49,127925,110903833.0,4.79,0.82,0.07,5.35
2010-05-20,8.55,8.66,8.79,8.53,85420,73932049.0,3.01,0.35,0.03,3.57
2010-05-21,8.5,8.97,8.98,8.4,121966,107339657.0,6.7,3.58,0.31,5.1
2010-05-24,9.1,9.51,9.62,9.1,219898,207291781.0,5.8,6.02,0.54,9.2
2010-05-25,9.55,9.91,10.2,9.5,420395,415517823.0,7.36,4.21,0.4,17.59
2010-05-26,9.97,9.88,10.05,9.7,181610,178681646.0,3.53,-0.3,-0.03,7.6
2010-05-27,9.86,10.87,10.87,9.76,297529,310337291.0,11.23,10.02,0.99,12.45
2010-05-28,11.11,11.01,11.2,10.76,326991,359396982.0,4.05,1.29,0.14,13.68
2010-05-31,10.88,10.68,11.4,10.58,281059,309619296.0,7.45,-3.0,-0.33,11.76
2010-06-01,10.56,11.39,11.68,10.45,324880,361671724.0,11.52,6.65,0.71,13.6
2010-06-02,11.2,11.4,11.49,10.7,250850,280213706.0,6.94,0.09,0.01,10.5
2010-06-03,11.4,11.22,11.84,11.18,269876,310383897.0,5.79,-1.58,-0.18,11.29
2010-06-04,11.01,11.18,11.35,10.9,165340,184190015.0,4.01,-0.36,-0.04,6.92
2010-06-07,10.91,11.85,11.86,10.9,249153,285215788.0,8.59,5.99,0.67,10.43
2010-06-08,11.78,12.13,12.37,11.72,201858,242744739.0,5.49,2.36,0.28,8.45
2010-06-09,12.1,12.07,12.22,11.8,143983,172916454.0,3.46,-0.49,-0.06,6.03
2010-06-10,11.91,11.84,12.2,11.76,161809,194313039.0,3.65,-1.91,-0.23,6.77
2010-06-11,11.8,11.84,12.07,11.63,102534,121464262.0,3.72,0.0,0.0,4.29
2010-06-17,11.84,11.62,12.24,11.55,102647,122309202.0,5.83,-1.86,-0.22,4.3
2010-06-18,11.49,10.83,11.65,10.7,194296,215622920.0,8.18,-6.8,-0.79,8.13
2010-06-21,10.71,11.28,11.31,10.68,111111,123046828.0,5.82,4.16,0.45,4.65
2010-06-22,11.2,11.04,11.42,10.98,72269,80614999.0,3.9,-2.13,-0.24,3.02
2010-06-23,10.92,11.59,11.75,10.92,169931,194539042.0,7.52,4.98,0.55,7.11
2010-06-24,11.59,11.59,11.88,11.42,73369,85179152.0,3.97,0.0,0.0,3.07
2010-06-25,11.48,12.06,12.2,11.41,186753,223372860.0,6.82,4.06,0.47,7.82
2010-06-28,12.13,12.01,12.36,11.85,109017,131529080.0,4.23,-0.41,-0.05,4.56
2010-06-29,12.01,10.81,12.08,10.81,158395,177012746.0,10.57,-9.99,-1.2,6.63
2010-06-30,10.4,10.53,11.1,10.05,134669,142666329.0,9.71,-2.59,-0.28,5.64
2010-07-01,10.4,10.77,10.97,10.4,97607,104599756.0,5.41,2.28,0.24,4.08
2010-07-02,10.73,10.48,10.84,9.84,120918,124741817.0,9.29,-2.69,-0.29,5.06
2010-07-05,10.25,9.78,10.25,9.62,98927,97987097.0,6.01,-6.68,-0.7,4.14
2010-07-06,9.71,10.76,10.76,9.7,178651,186726472.0,10.84,10.02,0.98,7.48
2010-07-07,10.82,10.96,11.0,10.52,142463,153485114.0,4.46,1.86,0.2,5.96
2010-07-08,11.2,11.13,11.43,10.96,157997,176775781.0,4.29,1.55,0.17,6.61
2010-07-09,11.18,11.26,11.63,10.83,134753,151894803.0,7.19,1.17,0.13,5.64
2010-07-12,11.25,12.39,12.39,11.25,237993,290977993.0,10.12,10.04,1.13,9.96
2010-07-13,12.65,12.5,12.95,12.36,330345,417472662.0,4.76,0.89,0.11,13.83
2010-07-14,12.42,13.11,13.4,12.42,227353,295896931.0,7.84,4.88,0.61,9.52
2010-07-15,12.98,12.75,13.35,12.71,176017,228449062.0,4.88,-2.75,-0.36,7.37
2010-07-16,12.81,13.21,13.37,12.68,168603,219631761.0,5.41,3.61,0.46,7.06
2010-07-19,13.05,13.15,13.29,12.73,148644,193313532.0,4.24,-0.45,-0.06,6.22
2010-07-20,13.11,13.25,13.63,12.97,220113,290921017.0,5.02,0.76,0.1,9.21
2010-07-21,13.26,12.94,13.44,12.86,152453,199838317.0,4.38,-2.34,-0.31,6.38
2010-07-22,12.81,13.33,13.35,12.81,148281,194691843.0,4.17,3.01,0.39,6.21
2010-07-23,13.35,13.16,13.48,12.96,101793,134153177.0,3.9,-1.28,-0.17,4.26
2010-07-26,13.14,13.31,13.66,13.0,139194,186258863.0,5.02,1.14,0.15,5.83
2010-07-27,13.28,13.03,13.4,12.91,125393,163903248.0,3.68,-2.1,-0.28,5.25
2010-07-28,12.88,13.95,14.2,12.88,214457,292901209.0,10.13,7.06,0.92,8.98
2010-07-29,13.95,14.14,14.3,13.8,142217,200448465.0,3.58,1.36,0.19,5.95
2010-07-30,14.1,13.96,14.28,13.8,82614,115712429.0,3.39,-1.27,-0.18,3.46
2010-08-02,13.96,14.1,14.18,13.74,104919,146377850.0,3.15,1.0,0.14,4.39
2010-08-03,14.1,13.86,14.67,13.85,141373,202128097.0,5.82,-1.7,-0.24,5.92
2010-08-04,13.71,13.84,13.97,13.4,117715,160786964.0,4.11,-0.14,-0.02,4.93
2010-08-05,13.8,14.06,14.09,13.49,124738,171664107.0,4.34,1.59,0.22,5.22
2010-08-06,14.2,14.1,14.28,13.68,125808,175768350.0,4.27,0.28,0.04,5.27
2010-08-09,14.15,14.93,15.12,14.11,176096,257230701.0,7.16,5.89,0.83,7.37
2010-08-10,14.95,14.62,15.18,14.48,163468,241944440.0,4.69,-2.08,-0.31,6.84
