datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio
2021-07-07,25.0,28.32,32.5,24.99,370866,1037335136.0,90.59,241.62,20.03,72.41
2021-07-08,25.55,22.22,25.66,22.18,293460,693870656.0,12.29,-21.54,-6.1,57.3
2021-07-09,21.26,21.88,23.58,21.11,189865,427376560.0,11.12,-1.53,-0.34,37.07
2021-07-12,21.88,22.2,23.37,21.78,140490,313760672.0,7.27,1.46,0.32,27.43
2021-07-13,22.19,23.23,24.24,21.11,235155,532820480.0,14.1,4.64,1.03,45.92
2021-07-14,22.93,27.88,27.88,22.81,338165,900319648.0,21.83,20.02,4.65,66.03
2021-07-15,25.74,24.64,26.12,24.2,246259,616919536.0,6.89,-11.62,-3.24,48.08
2021-07-16,25.0,24.65,25.48,23.56,173026,423830176.0,7.79,0.04,0.01,33.78
2021-07-19,24.07,23.9,25.05,23.68,119650,290052912.0,5.56,-3.04,-0.75,23.36
2021-07-20,24.3,23.0,24.99,22.94,132996,318175744.0,8.58,-3.77,-0.9,25.97
2021-07-21,22.28,22.8,23.49,22.22,113455,258188735.0,5.52,-0.87,-0.2,22.15
2021-07-22,22.55,21.8,22.73,21.74,102856,227225429.0,4.34,-4.39,-1.0,20.08
2021-07-23,21.8,22.49,22.53,21.52,92201,203719889.0,4.63,3.17,0.69,18.0
2021-07-26,22.5,21.36,22.5,21.12,83079,179180497.0,6.14,-5.02,-1.13,16.22
2021-07-27,21.25,19.78,21.57,19.65,91490,187166165.0,8.99,-7.4,-1.58,17.86
2021-07-28,20.0,18.69,20.05,18.62,67300,128460541.0,7.23,-5.51,-1.09,13.14
2021-07-29,18.95,18.99,19.38,18.8,54936,104931105.0,3.1,1.61,0.3,10.73
2021-07-30,18.99,19.5,20.27,18.95,71534,140449437.0,6.95,2.69,0.51,13.97
2021-08-02,20.15,20.37,20.64,19.77,80100,162201566.0,4.46,4.46,0.87,15.64
2021-08-03,20.49,22.18,23.36,20.05,171713,374531504.0,16.25,8.89,1.81,33.53
2021-08-04,21.55,23.55,24.18,21.21,171210,389473200.0,13.39,6.18,1.37,33.43
2021-08-05,23.8,25.88,27.75,23.5,219656,554739232.0,18.05,9.89,2.33,42.89
2021-08-06,25.89,24.2,26.28,23.95,181213,449772128.0,9.0,-6.49,-1.68,35.38
2021-08-09,25.0,29.04,29.04,23.47,249791,649089728.0,23.02,20.0,4.84,48.77
2021-08-10,30.31,30.01,34.42,28.8,245883,765467840.0,19.35,3.34,0.97,48.01
2021-08-11,29.02,29.61,31.3,28.6,168026,499616336.0,9.0,-1.33,-0.4,32.81
2021-08-12,29.02,28.03,29.5,27.82,128400,365004272.0,5.67,-5.34,-1.58,25.07
2021-08-13,27.69,27.09,28.1,26.82,100011,271570656.0,4.57,-3.35,-0.94,19.53
2021-08-16,26.78,26.49,27.5,26.31,123500,331653120.0,4.39,-2.21,-0.6,24.11
2021-08-17,26.32,26.18,28.22,25.78,118023,320049216.0,9.21,-1.17,-0.31,23.04
2021-08-18,25.0,25.71,26.12,24.82,63165,160836957.0,4.97,-1.8,-0.47,12.33
2021-08-19,25.61,25.8,26.39,25.33,53327,138039372.0,4.12,0.35,0.09,10.41
2021-08-20,26.06,24.67,26.29,24.42,65067,161394655.0,7.25,-4.38,-1.13,12.7
2021-08-23,24.77,25.2,25.38,24.4,46196,115481285.0,3.97,2.15,0.53,9.02
2021-08-24,25.55,26.21,26.47,24.56,106054,271687328.0,7.58,4.01,1.01,20.71
2021-08-25,26.48,27.13,27.32,26.0,109155,292125600.0,5.04,3.51,0.92,21.31
2021-08-26,26.55,25.9,27.17,25.81,74926,198272085.0,5.01,-4.53,-1.23,14.63
2021-08-27,25.46,23.34,25.47,22.9,95887,229651451.0,9.92,-9.88,-2.56,18.72
2021-08-30,23.99,23.9,24.55,23.36,50968,121796442.0,5.1,2.4,0.56,9.95
2021-08-31,23.5,24.17,25.1,23.5,50339,122685738.0,6.69,1.13,0.27,9.83
2021-09-01,23.8,22.95,24.0,22.5,59446,137432683.0,6.21,-5.05,-1.22,11.61
2021-09-02,22.63,23.3,23.5,22.63,42475,97761195.0,3.79,1.53,0.35,8.29
2021-09-03,22.96,23.55,24.24,22.85,45960,108977439.0,5.97,1.07,0.25,8.97
2021-09-06,23.26,23.55,24.2,23.0,33751,79612643.0,5.1,0.0,0.0,6.59
2021-09-07,23.5,23.87,23.98,23.25,34656,81598888.0,3.1,1.36,0.32,6.77
2021-09-08,24.14,23.7,24.8,23.59,39594,95186558.0,5.07,-0.71,-0.17,7.73
2021-09-09,23.9,23.51,23.9,23.15,34228,80194950.0,3.16,-0.8,-0.19,6.68
2021-09-10,23.31,22.8,23.65,22.71,34543,79502746.0,4.0,-3.02,-0.71,6.74
2021-09-13,23.1,22.87,23.26,22.21,32177,73441100.0,4.61,0.31,0.07,6.28
2021-09-14,23.01,23.0,23.47,22.51,35717,82333417.0,4.2,0.57,0.13,6.97
2021-09-15,23.0,22.7,23.25,22.62,24557,56217349.0,2.74,-1.3,-0.3,4.8
2021-09-16,22.82,21.39,22.88,21.24,33816,74696821.0,7.22,-5.77,-1.31,6.6
2021-09-17,21.5,21.25,21.88,20.75,24221,51636190.0,5.28,-0.65,-0.14,4.73
2021-09-22,21.2,21.83,22.23,21.0,35482,77066360.0,5.79,2.73,0.58,6.93
2021-09-23,22.0,22.19,22.37,21.75,35672,78863751.0,2.84,1.65,0.36,6.97
2021-09-24,22.07,21.04,22.08,21.03,30416,64713401.0,4.73,-5.18,-1.15,5.94
2021-09-27,20.75,20.07,21.13,19.81,25357,51465608.0,6.27,-4.61,-0.97,4.95
2021-09-28,20.09,20.5,21.6,19.79,39936,82684682.0,9.02,2.14,0.43,7.8
2021-09-29,20.31,18.85,20.31,18.85,42245,82359944.0,7.12,-8.05,-1.65,8.25
2021-09-30,19.02,19.85,20.09,19.01,46464,91533099.0,5.73,5.31,1.0,9.07
2021-10-08,20.23,19.66,20.44,19.46,26013,51519171.0,4.94,-0.96,-0.19,5.08
2021-10-11,19.68,20.0,20.27,19.68,22596,45036336.0,3.0,1.73,0.34,4.41
2021-10-12,19.7,19.59,19.91,19.06,24568,47613903.0,4.25,-2.05,-0.41,4.8
2021-10-13,19.66,20.55,20.55,19.31,38250,76908779.0,6.33,4.9,0.96,7.47
2021-10-14,20.31,21.39,21.83,20.08,53850,112702410.0,8.52,4.09,0.84,10.51
2021-10-15,20.91,20.95,21.42,20.77,33336,70217459.0,3.04,-2.06,-0.44,6.51
2021-10-18,20.82,21.58,22.0,20.81,36556,77878610.0,5.68,3.01,0.63,7.14
2021-10-19,25.9,25.9,25.9,25.9,66380,171924122.0,0.0,20.02,4.32,12.96
